City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Heishan,CN,41.6892,122.1128,55.69,40,0,6.35,clear sky
127,Kodiak,US,57.79,-152.4072,44.15,89,100,10.94,light rain
128,Oil City,US,41.4339,-79.7064,66.65,90,20,1.99,few clouds
129,Asekeyevo,RU,53.5742,52.7972,45.25,66,100,3.83,overcast clouds
130,Preobrazheniye,RU,42.9019,133.9064,57.43,40,0,5.59,clear sky
131,Yulara,AU,-25.2406,130.9889,64.24,48,0,18.41,clear sky
132,Asau,RO,46.4333,26.4,38.75,52,48,1.68,light snow
133,Makueni,KE,-1.8041,37.6203,62.71,84,95,2.95,overcast clouds
134,Ust-Maya,RU,60.4167,134.5333,33.57,94,100,6.04,light rain
135,Ikwiriri,TZ,-7.9562,38.9716,70.39,95,82,0.69,broken clouds
136,Padang,ID,-0.9492,100.3543,77.05,86,100,3.76,heavy intensity rain
137,Anadyr,RU,64.75,177.4833,23.5,92,75,8.01,broken clouds
138,Tripoli,LY,32.8752,13.1875,72.68,63,0,9.01,clear sky
139,Dwarka,IN,22.2394,68.9678,81.39,75,6,7.31,clear sky
140,Kajaani,FI,64.2273,27.7285,48.25,93,90,11.5,overcast clouds
141,Santa Rosa,PH,14.3122,121.1114,89.85,65,100,19.53,overcast clouds
142,Vardo,NO,70.3705,31.1107,44.38,90,100,10.31,overcast clouds
143,Fairbanks,US,64.8378,-147.7164,37.36,94,90,0.0,mist
144,Gizo,SB,-8.103,156.8419,84.49,69,98,5.03,overcast clouds
145,Hovd,MN,48.0056,91.6419,40.23,27,100,0.29,overcast clouds
146,Inirida,CO,3.8653,-67.9239,74.84,97,58,0.94,light rain
147,Sombrio,BR,-29.1139,-49.6167,61.93,79,99,9.66,overcast clouds
148,Pontes E Lacerda,BR,-15.2261,-59.3353,84.11,47,85,1.21,overcast clouds
149,Bethel,US,41.3712,-73.414,62.49,90,99,3.0,overcast clouds
150,Ganzhou,CN,28.8184,115.4327,63.91,77,100,13.76,overcast clouds
151,Caldwell,US,43.6629,-116.6874,62.47,46,1,5.75,clear sky
152,Matara,LK,5.9485,80.5353,79.88,86,100,12.01,light rain
153,Cidreira,BR,-30.1811,-50.2056,64.74,80,74,20.62,broken clouds
154,Dubbo,AU,-32.25,148.6167,62.73,55,100,4.61,overcast clouds
155,Sorong,ID,-0.8833,131.25,86.85,63,100,4.54,overcast clouds
156,Sitka,US,57.0531,-135.33,49.89,71,75,0.0,broken clouds
157,Samarai,PG,-10.6167,150.6667,79.18,80,100,5.77,overcast clouds
158,Nabire,ID,-3.3667,135.4833,86.49,65,71,4.81,moderate rain
159,Nome,US,64.5011,-165.4064,38.16,65,1,6.91,clear sky
160,Christchurch,NZ,-43.5333,172.6333,65.95,51,20,3.0,few clouds
161,Yuanping,CN,38.7153,112.7575,49.8,36,0,0.96,clear sky
162,Khorixas,NA,-20.3667,14.9667,76.44,11,0,10.47,clear sky
163,Huancavelica,PE,-12.7667,-74.9833,41.25,94,96,5.57,overcast clouds
164,Almaznyy,RU,48.0448,40.045,46.54,71,9,7.83,clear sky
165,Maceio,BR,-9.6658,-35.7353,78.24,94,40,4.61,scattered clouds
166,Puerto Rico,AR,-26.796,-55.024,67.77,92,100,1.54,overcast clouds
167,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.86,91,100,17.52,moderate rain
168,Rancharia,BR,-22.2292,-50.8931,67.12,91,98,7.36,overcast clouds
169,Astana,KZ,51.1801,71.446,33.75,93,90,11.18,light rain
170,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,90,8.05,light snow
171,Vao,NC,-22.6667,167.4833,70.57,64,3,12.53,clear sky
172,Beidao,CN,34.5686,105.8933,47.59,77,94,3.85,overcast clouds
173,Yar-Sale,RU,66.8333,70.8333,26.56,82,89,6.33,overcast clouds
174,Kjollefjord,NO,70.9457,27.3465,44.53,87,100,5.68,overcast clouds
175,Mahanoro,MG,-19.9,48.8,64.81,87,0,3.13,clear sky
176,Keti Bandar,PK,24.1447,67.4497,79.77,81,0,10.51,clear sky
177,Vestmannaeyjar,IS,63.4427,-20.2734,41.2,73,6,9.57,clear sky
178,Miri,MY,4.4148,114.0089,86.14,89,40,6.91,scattered clouds
179,Dorado,PR,18.4588,-66.2677,80.49,97,40,10.71,scattered clouds
180,Salinopolis,BR,-0.6136,-47.3561,80.44,81,3,11.41,clear sky
181,Agadir,MA,30.4202,-9.5982,63.05,81,100,4.38,overcast clouds
182,Wahiawa,US,21.5028,-158.0236,80.92,65,75,12.66,broken clouds
183,Ouargaye,BF,11.5033,0.0572,78.98,66,15,8.72,few clouds
184,Severo-Kurilsk,RU,50.6789,156.125,52.11,90,100,26.11,light rain
185,Westerly,US,41.3776,-71.8273,63.05,92,90,4.61,overcast clouds
186,Lufilufi,WS,-13.8745,-171.5986,76.78,77,100,7.94,light rain
187,Jalu,LY,29.0331,21.5482,74.41,34,0,6.82,clear sky
188,Nemuro,JP,43.3236,145.575,59.43,86,100,10.47,overcast clouds
189,Tiksi,RU,71.6872,128.8694,29.8,97,100,7.7,light snow
190,Butaritari,KI,3.0707,172.7902,82.04,65,57,9.15,broken clouds
191,Lungi,SL,9.2212,-12.6831,73.45,98,100,3.36,light rain
192,Angoche,MZ,-16.2325,39.9086,74.34,88,8,5.79,light rain
193,Sompeta,IN,18.9333,84.6,82.78,68,38,3.87,scattered clouds
194,Mount Gambier,AU,-37.8333,140.7667,57.11,54,75,10.36,broken clouds
195,Pavilosta,LV,56.8879,21.1859,40.95,69,19,14.58,few clouds
196,Jiaohe,CN,43.7286,127.3447,51.57,51,0,4.92,clear sky
197,Aksarka,RU,66.5606,67.7975,25.43,85,11,4.05,few clouds
198,Garissa,KE,-0.4536,39.6401,75.15,83,87,14.14,overcast clouds
199,Bathsheba,BB,13.2167,-59.5167,83.01,78,75,14.97,broken clouds
200,Prince Albert,CA,53.2001,-105.7677,48.15,43,75,2.3,broken clouds
201,Pacific Grove,US,36.6177,-121.9166,66.81,80,1,1.99,clear sky
202,Yichun,CN,47.7,128.9,48.76,50,0,13.04,clear sky
203,Katsuura,JP,35.1333,140.3,78.91,69,6,15.57,clear sky
204,Komsomolskiy,UZ,40.4272,71.7189,40.42,75,0,2.3,clear sky
205,Pemba,MZ,-12.974,40.5178,75.9,83,20,5.99,few clouds
206,Mehamn,NO,71.0357,27.8492,44.33,87,100,3.4,overcast clouds
207,Nyurba,RU,63.2842,118.3319,33.24,63,100,14.23,overcast clouds
208,Ucluelet,CA,48.9329,-125.5528,50.31,81,34,3.0,scattered clouds
209,Casper,US,42.8666,-106.3131,51.51,56,1,1.99,clear sky
210,Saskylakh,RU,71.9167,114.0833,22.15,96,100,7.45,overcast clouds
211,Stokmarknes,NO,68.5646,14.9108,48.49,83,100,0.69,overcast clouds
212,Grindavik,IS,63.8424,-22.4338,39.15,93,75,3.44,broken clouds
213,Nishihara,JP,26.1842,127.7558,85.28,79,75,20.71,light intensity shower rain
214,Tawala,PH,9.5542,123.7696,82.0,83,100,25.68,overcast clouds
215,Georgetown,MY,5.4112,100.3354,85.93,76,20,1.01,few clouds
216,Opuwo,NA,-18.0607,13.84,72.79,16,0,6.71,clear sky
217,Rio Gallegos,AR,-51.6226,-69.2181,46.45,39,0,9.22,clear sky
218,Chipinge,ZW,-20.1883,32.6236,53.22,84,100,7.14,overcast clouds
219,Maisach,DE,48.2167,11.2667,37.33,93,90,5.75,overcast clouds
220,Salta,AR,-24.7859,-65.4117,70.39,60,75,6.91,light rain
221,Severo-Yeniseyskiy,RU,60.3725,93.0408,20.55,75,10,6.35,clear sky
222,Sulangan,PH,11.1373,123.7228,83.71,80,100,23.8,overcast clouds
223,Barrow,US,71.2906,-156.7887,24.82,86,75,9.22,mist
224,Gobabis,NA,-22.45,18.9667,60.71,16,0,10.33,clear sky
225,Victoria,HK,22.2855,114.1577,86.97,75,42,3.0,scattered clouds
226,Inndyr,NO,67.0338,14.0276,46.44,86,100,6.26,overcast clouds
227,Luderitz,NA,-26.6481,15.1594,70.56,34,0,3.78,clear sky
228,Sur,OM,22.5667,59.5289,81.43,54,4,1.39,clear sky
229,Mitsamiouli,KM,-11.3847,43.2844,75.31,82,89,8.97,overcast clouds
230,Mahebourg,MU,-20.4081,57.7,72.25,100,75,9.22,light rain
231,Olga,RU,43.7444,135.2892,57.97,40,3,14.54,clear sky
232,Arman,RU,59.7,150.1667,37.08,39,1,7.31,clear sky
233,Kaitangata,NZ,-46.2817,169.8464,47.75,92,100,10.49,overcast clouds
234,Poum,NC,-20.2333,164.0167,75.18,65,2,14.07,clear sky
235,Ushtobe,KZ,45.2514,77.9838,42.66,77,91,15.17,overcast clouds
236,Kununurra,AU,-15.7667,128.7333,93.18,43,60,5.75,broken clouds
237,Hithadhoo,MV,-0.6,73.0833,82.96,68,99,13.91,overcast clouds
238,Mayo,US,38.8876,-76.5119,67.98,91,90,5.01,overcast clouds
