City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Laguna,US,82.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
357,Nazira,IN,78.98,clear sky,26.9167,94.7333,Hotel Villa & Restaurant Fruition
358,Taltal,CL,64.96,clear sky,-25.4,-70.4833,Residencial Karime
362,San Rafael,AR,65.12,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
363,Rohtak,IN,77.09,clear sky,28.9,76.5667,SPOT ON 66080 Hotel Milan
364,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
365,Nanga Eboko,CM,66.94,overcast clouds,4.6833,12.3667,Motel Papi Palace
367,Los Banos,PH,85.8,overcast clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
369,Asuncion Nochixtlan,MX,63.63,scattered clouds,17.4667,-97.2333,Hotel Kristal
370,Kasungu,MW,72.05,few clouds,-13.0333,33.4833,Mame Motel
371,Benghazi,LY,78.08,few clouds,32.1167,20.0667,Tibesti Hotel
372,Puerto Del Rosario,ES,73.15,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
374,Oriximina,BR,84.09,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
377,Virden,US,78.85,scattered clouds,39.5009,-89.7679,Virden Nail Spa
378,Mesimerion,GR,61.29,light rain,40.412,23.0059,La casa de la madre
380,Weligama,LK,78.26,overcast clouds,5.9667,80.4167,Weligama Bay Resort
381,Souillac,MU,73.78,shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
383,Barrancabermeja,CO,76.77,broken clouds,7.0653,-73.8547,Hotel Millenium Barrancabermeja
384,Port-Gentil,GA,77.68,overcast clouds,-0.7193,8.7815,Fengshui Residence
385,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
388,Columbia,US,74.84,clear sky,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
390,Kaiyuan,CN,61.14,light rain,23.6977,103.3037,Dongqi Hotel
391,Fukue,JP,77.36,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
393,Columbus,US,76.35,few clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
395,Hearst,CA,64.65,overcast clouds,49.6835,-83.6665,Companion
396,Tonj,SS,72.41,overcast clouds,7.2737,28.6822,Lakan Hotel
398,Badulla,LK,70.54,overcast clouds,6.9895,81.0557,Budget comfort holiday
401,Peringat,MY,76.95,broken clouds,6.0333,102.2833,Daseda Guest House
402,San Francisco De Macoris,DO,79.48,scattered clouds,19.2952,-70.2554,Hotel Las Caobas
406,Gemena,CD,69.89,broken clouds,3.25,19.7667,Hôtel Goshen
408,Nanakuli,US,85.95,scattered clouds,21.3906,-158.1547,Camp Pālehua
409,Mananjary,MG,67.05,clear sky,-21.2167,48.3333,Vahiny Lodge
410,Sidi Ali,DZ,67.05,scattered clouds,36.0998,0.4206,
411,Mae Sot,TH,76.95,overcast clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
412,Holland,US,72.88,clear sky,42.7875,-86.1089,Hampton Inn Holland
413,Rawson,AR,61.97,few clouds,-43.3002,-65.1023,Hosteria Sampedro
414,Diu,IN,79.12,broken clouds,20.7141,70.9822,Hotel Relax Inn
416,Minot,US,64.62,clear sky,48.2325,-101.2963,Noble Inn
419,Alvorada,BR,88.66,broken clouds,-12.48,-49.1247,Cristal Plaza Hotel
421,Carnot,CF,67.57,overcast clouds,4.9409,15.8665,
422,Lamballe,FR,60.82,broken clouds,48.4676,-2.5144,Hôtel Kyriad Lamballe
423,Luba,GQ,77.81,overcast clouds,3.4568,8.5547,
425,Salta,AR,72.19,light rain,-24.7859,-65.4117,Hotel Alejandro I
426,Sioux Lookout,CA,60.87,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
427,Lorengau,PG,85.19,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
428,Mutis,CO,77.05,overcast clouds,6.2262,-77.4044,Paraiso Escondido
430,Porto Walter,BR,82.76,broken clouds,-8.2686,-72.7439,Secretaria de saúde
432,Tagusao,PH,79.47,moderate rain,9.1924,117.8141,Toledo
434,Mount Isa,AU,67.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
435,Sri Aman,MY,77.05,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
437,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
439,Yanam,IN,76.15,scattered clouds,16.7333,82.2167,The Regency Hotel
440,Rio Claro,BR,68.79,overcast clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
441,Bosaso,SO,83.73,broken clouds,11.2842,49.1816,Red Sea Hotel
